,text
0,"unfortunately, we did not stay at the hotel as we pre-booked another one."
1,"but since it was such an incredibly good breakfast and service at art, we ate breakfast there every day for two weeks."
2,we also used their spa and had four massages and were incredibly satisfied.
3,"i had a pleasant 2 nights stay here with my husband and a baby, really love the room with king size bed, so clean and homey."
4,"tasty breakfast, and room service."
5,"location is perfect, only takes 3 minutes walking distance to the beach."
6,staff are very friendly.
7,the hospitality is undoubtable.
8,check in-check out went smoothly.
9,definitely will come back!
10,"it’s located in a strategic area in sanur, the beach is less than 5 mins walk away, suitable for family especially elderly."
11,the hotel is very artsy just like the other artotel property.
12,"service is 10/10, staffs are extremely friendly, love the balinese hospitality!"
13,would definitely recommend staying here if you’re planning to explore sanur.
14,have already booked my next stay here 
15,we spent there 2.5 months at the end of 2022 and two weeks in february 2023.
16,excellent marks for each day we was there.
17,"employees were very very friendly, anything we ask was done very quickly."
18,very good breakfasts a bit different every day in a week.
19,"very well located and easy to get any place you need: airport, harbour, denpasar city and of course the beach where you can walk a lot of."
20,and design is also very interesting.
21,"if someone ask about hotel in sanur, for sure i will recommend arthotel only."
22,"sorry, have no photo."
23,i loved this hotel!
24,"i saw it online & was super curious, so i walked there, immediately saw that it was even better in person & booked a room for two nights."
25,my stay was excellent in every way.
26,"everything was fantastic - my room, the front desk, the pool, the breakfast buffet, the spa!!!"
27,i can’t wait to come back for another stay here!
28,"hotel with good design, good ambience, nice staff, big room, and nearby to beach sanur."
29,i recommend for staycation in artotel sanur bali.
30,see u again artotel sanur bali next month.
31,i would definitely recommend this hotel.
32,the location is top notch (both close to the beach and to the centre).
33,the food is amazing and the staff really has customer service in high standing.
34,the room was also very modern and nice
35,i have spent over  one month in this hotel.
36,it was a wonderful experience.
37,"the hotel is modern, clean and the rooms are very comfortable."
38,there was nothing that i would improve.
39,the service was impeccable i i have not seen more attentive staff yet.
40,big smiles welcomed you at all places.
41,"if i needed any help with transport, information and medical issues the help was right there."
42,the breakfast was included and comparing it to local resorts’  dishes it beats them hands down.
43,there is a roof top infinity pool that adds to your comfort.
44,all guests i talked to were impressed by the service and quality of the place.
45,the hotel is located in the center of the liveliest part of sanur one hundred fifty meters from the beach.
46,it would be difficult to find a better deal.
47,i would like to extend my gratitude to the personnel on all levels for their commitment to the quests’ comfort.
48,i strongly recommend arthotel for short as well as for long stay!
49,very lovely hotel.
50,"the vibe is relaxing, cool interior and art decor."
51,"best of all is the staff, friendly and helpful, such as ade sutrisni's friendly face greeting us and makes us feel home."
52,no wonder the hotel is fully booked!
53,"had a pleasant 3 nights stay here with my parents, love the room with king size bed, nice bathroom and balcony."
54,"it’s located in a strategic area in sanur, the beach is less than 5 mins walk away, suitable for family especially elderly."
55,the hotel is very artsy just like the other artotel property.
56,"service is 10/10, staffs are extremely friendly, love the balinese hospitality!"
57,would definitely recommend staying here if you’re planning to explore sanur.
58,have already booked my next stay here 
59,unfortunately we only stayed for one night in artotel.
60,"we loved our stay, the staff is so nice, very kind and thoughtful."
61,"we had a late flight home, we could leave our luggage in the hotel and enjoy our last day at the beach & at the rooftop pool."
62,the breakfast was great!
63,great stay at artotel.
